adventure_id,adventure_title,source_book,publisher,page_count,level_start,level_end,decision,reason
ADV-0365,The Emerald Grotto,Critical Role: Call of the Netherdeep,Wizards of the Coast,7,3,4,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0366,Bazzoxan,Critical Role: Call of the Netherdeep,Wizards of the Coast,28,5,7,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0367,Betrayers' Rise,Critical Role: Call of the Netherdeep,Wizards of the Coast,14,5,7,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0368,Deliver the Figurine,Critical Role: Call of the Netherdeep,Wizards of the Coast,2,7,7,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0369,Search the Life Dome,Critical Role: Call of the Netherdeep,Wizards of the Coast,3,7,7,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0370,The Proxies of Prolix,Critical Role: Call of the Netherdeep,Wizards of the Coast,3,7,8,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0371,A Ghost in Our Midst,Critical Role: Call of the Netherdeep,Wizards of the Coast,2,7,7,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0372,When Luck Runs Out,Critical Role: Call of the Netherdeep,Wizards of the Coast,3,7,7,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0373,Elephant in the Room,Critical Role: Call of the Netherdeep,Wizards of the Coast,3,7,8,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0374,The Cultist of Zehir,Critical Role: Call of the Netherdeep,Wizards of the Coast,2,7,7,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0375,Half-Baked Scheme,Critical Role: Call of the Netherdeep,Wizards of the Coast,4,7,7,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0376,Elephant Uproar,Critical Role: Call of the Netherdeep,Wizards of the Coast,2,7,8,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0377,The Drowned City,Critical Role: Call of the Netherdeep,Wizards of the Coast,18,8,10,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0378,The Netherdeep,Critical Role: Call of the Netherdeep,Wizards of the Coast,34,10,12,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
ADV-0379,The Heart of Despair,Critical Role: Call of the Netherdeep,Wizards of the Coast,15,12,13,SELECT,exact_batch_016_target_levels_present_11_scores_blank_source_preflight_pass
