global_sequence,dimension,pilot_sequence,manifest,model_alias,ollama_model,adventure_id,adventure_title,oracle_score,prompt_profile,profile_env_name,replicates,role,stop_type
14,Lethality / Failure Severity,4,experiments/phase6/phase6-remediation-lethality-adv0278-lower-endpoint-control-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0278,Witchlight Carnival,1,phase6-v0.2,AF_LETHALITY_GUARDRAIL_PROFILE,1,lower-endpoint-control,exact-or-stop
15,Lethality / Failure Severity,5,experiments/phase6/phase6-remediation-lethality-adv0034-upper-endpoint-control-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0034,Tomb of Horrors,5,phase6-v0.2,AF_LETHALITY_GUARDRAIL_PROFILE,1,upper-endpoint-control,final-exact-gate
16,Puzzle / Problem-Solving Emphasis,1,experiments/phase6/phase6-remediation-puzzle-adv0053-localized-optional-recovery-kill-test-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0053,Call of the Wild,2,phase6-v0.2,AF_PUZZLE_GUARDRAIL_PROFILE,1,localized-optional-recovery-kill-test,exact-or-stop
17,Puzzle / Problem-Solving Emphasis,2,experiments/phase6/phase6-remediation-puzzle-adv0062-open-ended-planning-recovery-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0062,No Honour Among Thieves,2,phase6-v0.2,AF_PUZZLE_GUARDRAIL_PROFILE,1,open-ended-planning-recovery,exact-or-stop
18,Puzzle / Problem-Solving Emphasis,3,experiments/phase6/phase6-remediation-puzzle-adv0287-prescribed-signposted-recovery-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0287,The House of Lament,2,phase6-v0.2,AF_PUZZLE_GUARDRAIL_PROFILE,1,prescribed-signposted-recovery,exact-or-stop
19,Puzzle / Problem-Solving Emphasis,4,experiments/phase6/phase6-remediation-puzzle-adv0040-minimal-anti-inflation-control-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0040,Expedition to the Barrier Peaks,1,phase6-v0.2,AF_PUZZLE_GUARDRAIL_PROFILE,1,minimal-anti-inflation-control,exact-or-stop
20,Puzzle / Problem-Solving Emphasis,5,experiments/phase6/phase6-remediation-puzzle-adv0031-upper-anti-overcorrection-control-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0031,White Plume Mountain,4,phase6-v0.2,AF_PUZZLE_GUARDRAIL_PROFILE,1,upper-anti-overcorrection-control,final-exact-gate
21,Seriousness,1,experiments/phase6/phase6-remediation-seriousness-adv0040-proxy-weighting-kill-test-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0040,Expedition to the Barrier Peaks,3,phase6-v0.3,AF_SERIOUSNESS_GUARDRAIL_PROFILE,1,proxy-weighting-kill-test,exact-or-stop
22,Seriousness,2,experiments/phase6/phase6-remediation-seriousness-adv0278-lower-boundary-inflation-recovery-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0278,Witchlight Carnival,2,phase6-v0.3,AF_SERIOUSNESS_GUARDRAIL_PROFILE,1,lower-boundary-inflation-recovery,exact-or-stop
23,Seriousness,3,experiments/phase6/phase6-remediation-seriousness-adv0262-upper-boundary-inflation-recovery-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0262,Lost Mine of Phandelver,4,phase6-v0.3,AF_SERIOUSNESS_GUARDRAIL_PROFILE,1,upper-boundary-inflation-recovery,exact-or-stop
24,Seriousness,4,experiments/phase6/phase6-remediation-seriousness-adv0287-genuine-high-control-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0287,House of Lament,5,phase6-v0.3,AF_SERIOUSNESS_GUARDRAIL_PROFILE,1,genuine-high-control,exact-or-stop
25,Seriousness,5,experiments/phase6/phase6-remediation-seriousness-adv0013-low-end-anti-shift-control-v1.yml,qwen,qwen3.6:35b-a3b,ADV-0013,A Conspiracy Most Cracked,1,phase6-v0.3,AF_SERIOUSNESS_GUARDRAIL_PROFILE,1,low-end-anti-shift-control,final-exact-gate
