matrix_index,run_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,action,existing_score,profile,manifest_path
45,42,ADV-0135,Shadow of the Watch,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0135-v1.yml
46,43,ADV-0135,Shadow of the Watch,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0135-v1.yml
47,44,ADV-0162,The Dallabad Curse,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0162-v1.yml
48,45,ADV-0162,The Dallabad Curse,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0162-v1.yml
49,46,ADV-0169,Clockwork Memories,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0169-v1.yml
50,47,ADV-0169,Clockwork Memories,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0169-v1.yml
51,48,ADV-0170,The Shadow Parliament,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0170-v1.yml
52,49,ADV-0170,The Shadow Parliament,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0170-v1.yml
53,50,ADV-0198,Cold-Hearted Killer,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,3,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0198-v1.yml
54,51,ADV-0198,Cold-Hearted Killer,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,3,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0198-v1.yml
55,52,ADV-0013,A Conspiracy Most Cracked,Shire Adventures,Free League Publishing,7,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0013-v1.yml
56,53,ADV-0013,A Conspiracy Most Cracked,Shire Adventures,Free League Publishing,7,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0013-v1.yml
57,54,ADV-0185,The Murkmire Malevolence,Keys from the Golden Vault,Wizards of the Coast,16,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0185-v1.yml
58,55,ADV-0185,The Murkmire Malevolence,Keys from the Golden Vault,Wizards of the Coast,16,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0185-v1.yml
59,56,ADV-0195,Affair on the Concordant Express,Keys from the Golden Vault,Wizards of the Coast,16,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0195-v1.yml
60,57,ADV-0195,Affair on the Concordant Express,Keys from the Golden Vault,Wizards of the Coast,16,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0195-v1.yml
61,58,ADV-0046,Into Dreamland,Labyrinth Adventures,Kobold Press,14,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0046-v1.yml
62,59,ADV-0046,Into Dreamland,Labyrinth Adventures,Kobold Press,14,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0046-v1.yml
63,60,ADV-0033,Against the Giants,Tales from the Yawning Portal,Wizards of the Coast,46,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0033-v1.yml
64,61,ADV-0033,Against the Giants,Tales from the Yawning Portal,Wizards of the Coast,46,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0033-v1.yml
65,62,ADV-0020,Hell Hath Fury,The Game Master's Book of Legendary Dragons,Media Lab Books,10,Social Interaction Emphasis,RUN,,phase6-v0.3,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-social-adv0020-v1.yml
66,63,ADV-0020,Hell Hath Fury,The Game Master's Book of Legendary Dragons,Media Lab Books,10,Investigation Emphasis,RUN,,phase6-v0.4,experiments/production-social-investigation-b1-2026-08-23/production-b1-qwen-investigation-adv0020-v1.yml
