adventure_id,adventure_title,source_book,publisher,page_count,decision,reason
ADV-0022,Beneath Baldur's Gate,Heroes of Baldur's Gate,Arcanum Worlds,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0023,Cloakwood Forest,Heroes of Baldur's Gate,Arcanum Worlds,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0024,The Cloakwood Mines,Heroes of Baldur's Gate,Arcanum Worlds,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0025,The Shadow Druids,Heroes of Baldur's Gate,Arcanum Worlds,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0026,The Nest,Heroes of Baldur's Gate,Arcanum Worlds,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0027,Return to Baldur's Gate,Heroes of Baldur's Gate,Arcanum Worlds,3,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0028,The Sunless Citadel,Tales from the Yawning Portal,Wizards of the Coast,24,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0029,The Forge of Fury,Tales from the Yawning Portal,Wizards of the Coast,28,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0030,The Hidden Shrine of Tamoachan,Tales from the Yawning Portal,Wizards of the Coast,34,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0031,White Plume Mountain,Tales from the Yawning Portal,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0032,Dead in Thay,Tales from the Yawning Portal,Wizards of the Coast,56,REJECT,accepted_number_of_sessions_present
ADV-0033,Against the Giants,Tales from the Yawning Portal,Wizards of the Coast,46,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0034,Tomb of Horrors,Tales from the Yawning Portal,Wizards of the Coast,17,REJECT,accepted_number_of_sessions_present
ADV-0035,The Lost City,Quests from the Infinite Staircase,Wizards of the Coast,31,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0036,When a Star Falls,Quests from the Infinite Staircase,Wizards of the Coast,30,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0037,Beyond the Crystal Cave,Quests from the Infinite Staircase,Wizards of the Coast,26,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0038,Pharaoh,Quests from the Infinite Staircase,Wizards of the Coast,26,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0039,The Lost Caverns of Tsojcanth,Quests from the Infinite Staircase,Wizards of the Coast,28,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0040,Expedition to the Barrier Peaks,Quests from the Infinite Staircase,Wizards of the Coast,34,REJECT,accepted_number_of_sessions_present
ADV-0041,The Lost Book of Mektar,Labyrinth Adventures,Kobold Press,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0042,Chasing the Inferno,Labyrinth Adventures,Kobold Press,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0043,Song of the Void,Labyrinth Adventures,Kobold Press,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0044,The Golden Acorn Heist,Labyrinth Adventures,Kobold Press,15,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0045,Missing Darkness,Labyrinth Adventures,Kobold Press,19,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0046,Into Dreamland,Labyrinth Adventures,Kobold Press,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0047,A Clockwork Mind,Labyrinth Adventures,Kobold Press,19,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0048,Threading Rava's Needle,Labyrinth Adventures,Kobold Press,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0049,In the Court of the Clockwork Queen,Labyrinth Adventures,Kobold Press,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0050,Champion of Undeath,Labyrinth Adventures,Kobold Press,17,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0051,Maze Runner,Labyrinth Adventures,Kobold Press,19,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0052,What Dwells Beneath,Labyrinth Adventures,Kobold Press,20,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0053,Call of the Wild,Hunter's Full Moon Trilogy,Midnight Tower,50,REJECT,accepted_number_of_sessions_present
ADV-0054,Deeper into the Woods,Hunter's Full Moon Trilogy,Midnight Tower,38,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0055,Under the Black Mountains,Hunter's Full Moon Trilogy,Midnight Tower,28,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0056,Troubles in Winterhold,Secrets of the Drow Trilogy,Midnight Tower,40,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0057,Find the Lost Expedition,Secrets of the Drow Trilogy,Midnight Tower,40,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0058,The Spider Queen's Ritual,Secrets of the Drow Trilogy,Midnight Tower,41,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0059,The Frozen Labyrinth,Rise of the Ice Dragons Trilogy,Midnight Tower,34,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0060,The Quest for the Last Orbstone,Rise of the Ice Dragons Trilogy,Midnight Tower,44,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0061,Enter Drakenberg Castle,Rise of the Ice Dragons Trilogy,Midnight Tower,23,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0062,No Honour Among Thieves,The Prophecy of Nine Omens Trilogy,Midnight Tower,30,REJECT,accepted_number_of_sessions_present
ADV-0063,"Sea Monsters Ahead, Captain!",The Prophecy of Nine Omens Trilogy,Midnight Tower,44,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0064,The Sunken Temple of Sirenholm,The Prophecy of Nine Omens Trilogy,Midnight Tower,36,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0065,Heart of Darkness,Battle for the Realm Trilogy,Midnight Tower,48,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0066,Three Witches and a Missing Princess,Battle for the Realm Trilogy,Midnight Tower,52,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0067,At the Gate to the Abyss,Battle for the Realm Trilogy,Midnight Tower,53,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0068,Curse of Strahd,Curse of Strahd,Wizards of the Coast,204,REJECT,outside_qualified_page_domain
ADV-0069,Castle Ravenloft,Curse of Strahd,Wizards of the Coast,40,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0070,Old Bonegrinder,Curse of Strahd,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0071,Argynvostholt,Curse of Strahd,Wizards of the Coast,17,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0072,Van Richten's Tower,Curse of Strahd,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0073,Wizard of Wines,Curse of Strahd,Wizards of the Coast,8,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0074,Amber Temple,Curse of Strahd,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0075,Yester Hill,Curse of Strahd,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0076,Werewolf Den,Curse of Strahd,Wizards of the Coast,5,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0077,Death House,Curse of Strahd,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0078,Vecna: Eve of Ruin,Vecna: Eve of Ruin,Wizards of the Coast,199,REJECT,outside_qualified_page_domain
ADV-0079,Return from Neverdeath Graveyard,Vecna: Eve of Ruin,Wizards of the Coast,20,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0080,The Wizards Three,Vecna: Eve of Ruin,Wizards of the Coast,20,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0081,The Lambent Zenith's Last Voyage,Vecna: Eve of Ruin,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0082,The Ruined Colossus,Vecna: Eve of Ruin,Wizards of the Coast,20,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0083,Death House,Vecna: Eve of Ruin,Wizards of the Coast,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0084,Night of Blue Fire,Vecna: Eve of Ruin,Wizards of the Coast,20,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0085,Tomb of Wayward Souls,Vecna: Eve of Ruin,Wizards of the Coast,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0086,The Dragon Queen's Pride,Vecna: Eve of Ruin,Wizards of the Coast,20,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0087,The War of Pandesmos,Vecna: Eve of Ruin,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0088,Eve of Ruin,Vecna: Eve of Ruin,Wizards of the Coast,13,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0089,Presto Change-o,The Game Master's Book of Random Encounters,Topix Media Lab,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0090,Mother Knows Best,The Game Master's Book of Random Encounters,Topix Media Lab,8,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0091,Special Delivery,The Game Master's Book of Random Encounters,Topix Media Lab,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0092,An Actor's Life,The Game Master's Book of Random Encounters,Topix Media Lab,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0093,The Tomb of the Forgotten Paladin,The Game Master's Book of Random Encounters,Topix Media Lab,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0094,Nature vs. Nurture,The Game Master's Book of Random Encounters,Topix Media Lab,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0095,One Last Job,The Game Master's Book of Random Encounters,Topix Media Lab,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0096,The Portal Prison,The Game Master's Book of Random Encounters,Topix Media Lab,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0112,Death at Sunset,Dragon Delves,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0113,Baker's Doesn't,Dragon Delves,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0114,The Will of Orcus,Dragon Delves,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0115,For Whom the Void Calls,Dragon Delves,Wizards of the Coast,13,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0116,The Dragon of Najkir,Dragon Delves,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0117,The Forbidden Vale,Dragon Delves,Wizards of the Coast,19,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0118,Before the Storm,Dragon Delves,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0119,Shivering Death,Dragon Delves,Wizards of the Coast,13,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0120,A Copper for a Song,Dragon Delves,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0121,Dragons of the Sandstone City,Dragon Delves,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0122,The Curse on Humble Hill,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0123,Robber Baron,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0124,The Siege of Shalespire Priory,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0125,The Weeping Goddess,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0126,Fury Grove,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0127,The Tenebrous Stone,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0128,Disinterred Danger,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0129,The Drowning Forest,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0130,The Lost Dawn,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0131,Wolves of Amphail,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0132,The Eyes of At'ar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0133,Safe House Standoff,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0134,Tears Fall,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0135,Shadow of the Watch,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0136,Well of Lies,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0137,The Raid on Noanar's Hold,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0138,In for a Penny,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0139,Hell Ship,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0140,The Summerlight Ceremony,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0141,The Vault of Velsharoon,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0142,Dragon Orb,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0143,Echoes of the Shaking Plague,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0144,The Ashen Faithful,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0145,Silk and Suffering,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0146,The Flying Fortress,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0147,The Foehammer Horn,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0148,The Blight on Soubar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0149,Mystery of Myth Rodarnum,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0150,A Restless Eternity,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0151,Dread March of the Bone Titan,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0152,Heart of Fire,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0153,The Tomb of Damara,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0154,Restoring Freedale,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0155,The Temple of Transmutation,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0156,The Cost of Warmth,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0157,Retaking the Terror,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0158,Dougan's Hell,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0159,What Wakes Below,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0160,Calim Crossing,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0161,Gods Long Forgotten,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0162,The Dallabad Curse,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0163,The Rushdown Well,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0164,Message in a Bottle,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0165,Wreck of the Silverhand,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0166,The Treaty of Ostoria,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0167,Tide of Teeth,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0168,Blood Night,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0169,Clockwork Memories,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0170,The Shadow Parliament,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0171,The Lost Library of Lethchauntos,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,15,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0172,Salted Legacy,Journeys Through the Radiant Citadel,Wizards of the Coast,13,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0173,Written in Blood,Journeys Through the Radiant Citadel,Wizards of the Coast,11,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0174,The Fiend of Hollow Mine,Journeys Through the Radiant Citadel,Wizards of the Coast,15,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0175,Wages of Vice,Journeys Through the Radiant Citadel,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0176,Sins of Our Elders,Journeys Through the Radiant Citadel,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0177,Gold for Fools and Princes,Journeys Through the Radiant Citadel,Wizards of the Coast,11,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0178,Trail of Destruction,Journeys Through the Radiant Citadel,Wizards of the Coast,11,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0179,In the Mists of Manivarsha,Journeys Through the Radiant Citadel,Wizards of the Coast,10,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0180,Between Tangled Roots,Journeys Through the Radiant Citadel,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0181,Shadow of the Sun,Journeys Through the Radiant Citadel,Wizards of the Coast,17,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0182,The Nightsea's Succor,Journeys Through the Radiant Citadel,Wizards of the Coast,15,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0183,Buried Dynasty,Journeys Through the Radiant Citadel,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0184,Orchids of the Invisible Mountain,Journeys Through the Radiant Citadel,Wizards of the Coast,17,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0185,The Murkmire Malevolence,Keys from the Golden Vault,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0186,The Stygian Gambit,Keys from the Golden Vault,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0187,Reach for the Stars,Keys from the Golden Vault,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0188,Prisoner 13,Keys from the Golden Vault,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0189,Tockworth's Clockworks,Keys from the Golden Vault,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0190,Masterpiece Imbroglio,Keys from the Golden Vault,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0191,Axe from the Grave,Keys from the Golden Vault,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0192,Vidorant's Vault,Keys from the Golden Vault,Wizards of the Coast,14,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0193,Shard of the Accursed,Keys from the Golden Vault,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0194,Heart of Ashes,Keys from the Golden Vault,Wizards of the Coast,12,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0195,Affair on the Concordant Express,Keys from the Golden Vault,Wizards of the Coast,16,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0196,Party at Paliset Hall,Keys from the Golden Vault,Wizards of the Coast,18,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0197,Fire and Darkness,Keys from the Golden Vault,Wizards of the Coast,13,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0198,Cold-Hearted Killer,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,3,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0199,Nature Spirits,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,2,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0200,Lake Monster,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,REJECT,accepted_number_of_sessions_present
ADV-0201,Foaming Mugs,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,3,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0202,Black Swords,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,8,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0203,The Unseen,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0204,Holed Up,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0205,Toil and Trouble,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0206,The Mead Must Flow,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0207,The White Moose,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0208,Mountain Climb,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0209,A Beautiful Mine,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0210,Angajuk's Bell,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,3,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0211,Black Cabin,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0212,Cackling Chasm,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0213,Cave of the Berserkers,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0214,Dark Duchess,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0215,Id Ascendant,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0216,Jarlmoot,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0217,Karkolohk,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0218,Lost Spire of Netheril,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,8,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0219,Revel's End,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,8,SELECT,blank_nos_under_100_source_preflight_pass
ADV-0220,Skytower Shelter,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,SELECT,blank_nos_under_100_source_preflight_pass
